player_id,nombre,nombre_corto,fecha_nacimiento,edad,mano_dominante,altura_cm,peso_kg,pais,pais_codigo,genero,actualizado
355846,Rafael Pérez,R. Pérez,1990-01-09,,,186.0,72.0,Colombia,CO,M,2026-04-14
55309,Jovica Obradovic,J. Obradovic,,,,,,,,M,2026-04-14
15894,Michael Tørnes,M. Tørnes,1986-01-08,,,187.0,79.0,Denmark,DK,,2026-04-14
1215001,Florian Potzkai,F. Potzkai,,,,,,,,M,2026-04-14
1215003,Aleksandr Jegorov,A. Jegorov,1987-08-10,,,,,Estonia,EE,,2026-04-14
1215004,Jana Braun,J. Braun,1998-02-17,,,165.0,,Germany,DE,F,2026-04-14
1215002,Stanislav Agaptsev,S. Agaptsev,2006-06-08,,,178.0,,Estonia,EE,M,2026-04-14
75813,Tommaso Bellazzini,T. Bellazzini,1987-12-23,,,178.0,74.0,Italy,IT,,2026-04-14
348712,Pedro Jose Carrion Padial,P. J. C. Padial,,,,,,,,M,2026-04-14
1075240,HECTOz,HECTOz,1998-03-07,,,,,Denmark,DK,M,2026-04-14
189995,Felix Araujo,F. Araujo,1983-02-10,,,186.0,85.0,Mexico,MX,,2026-04-14
1214513,Billal Qsiyer,B. Qsiyer,1992-08-29,,,,,Algeria,DZ,M,2026-04-14
183861,Jasmine Matthews,J. Matthews,1993-03-24,,,171.0,,England,EN,F,2026-04-14
222826,James Connolly,J. Connolly,,,,,,,,M,2026-04-14
38517,Michele Mugnos,M. Mugnos,1980-08-20,,,,,Italy,IT,M,2026-04-14
23158,Dominic Chatto,D. Chatto,1985-12-07,,,181.0,78.0,Nigeria,NG,,2026-04-14
63606,Maxim Mihaliov,M. Mihaliov,1986-08-22,,,174.0,,Moldova,MD,M,2026-04-14
1092220,Mark Vas,M. Vas,,,,,,,,M,2026-04-14
117916,Robert Mikulic,R. Mikulic,1992-03-31,,,,,Bosnia & Herzegovina,BA,,2026-04-14
221362,Julien Rybacki,J. Rybacki,1995-09-24,,,180.0,,Germany,DE,,2026-04-14
258749,Juan Mackay Abad,J. M. Abad,,,,,,,,M,2026-04-14
1170623,Corentin Chouiah,C. Chouiah,1997-07-29,,,,,,,M,2026-04-14
90814,Christos Kountourettis,C. Kountourettis,,,,,,,,M,2026-04-14
217828,Samuel Hodge,S. Hodge,1993-10-14,,,,,Wales,WA,,2026-04-14
206570,Domagoj Muić,D. Muić,1993-09-05,,,187.0,72.0,Croatia,HR,M,2026-04-14
25838,Trine Ronning,T. Ronning,1982-06-14,,,164.0,63.0,Norway,NO,F,2026-04-14
1210103,Ravi Panchal,Ravi Panchal,,,,,,Spain,ES,M,2026-04-14
